u,v,owned_by
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,2,1
1,3,1
1,6,1
1,13,1
1,17,1
1,18,1
1,23,1
1,24,1
1,25,1
1,31,1
1,32,1
1,34,1
1,42,1
1,43,1
1,46,1
1,48,1
1,50,1
1,54,1
1,55,1
1,56,1
1,64,1
1,65,1
1,68,1
1,72,1
1,77,1
1,83,1
1,97,1
1,99,1
2,14,2
2,16,2
2,17,2
2,19,2
2,23,2
2,30,2
2,34,2
2,35,2
2,40,2
2,49,2
2,54,2
2,58,2
2,64,2
2,65,2
2,66,2
2,70,2
2,71,2
2,84,2
2,87,2
2,92,2
2,93,2
2,94,2
2,95,2
3,5,3
3,9,3
3,10,3
3,18,3
3,21,3
3,24,3
3,25,3
3,33,3
3,37,3
3,39,3
3,42,3
3,46,3
3,47,3
3,62,3
3,63,3
3,69,3
3,79,3
3,83,3
3,90,3
3,96,3
3,99,3
4,6,4
4,10,4
4,11,4
4,14,4
4,16,4
4,24,4
4,26,4
4,29,4
4,35,4
4,37,4
4,39,4
4,40,4
4,41,4
4,50,4
4,53,4
4,56,4
4,58,4
4,64,4
4,67,4
4,70,4
4,80,4
4,85,4
4,87,4
4,89,4
4,97,4
4,98,4
5,12,5
5,13,5
5,14,5
5,28,5
5,37,5
5,38,5
5,39,5
5,44,5
5,48,5
5,51,5
5,70,5
5,71,5
5,72,5
5,74,5
5,76,5
5,77,5
5,79,5
5,87,5
5,88,5
5,90,5
5,93,5
5,99,5
6,9,6
6,13,6
6,18,6
6,20,6
6,26,6
6,34,6
6,38,6
6,41,6
6,44,6
6,48,6
6,49,6
6,52,6
6,58,6
6,59,6
6,60,6
6,62,6
6,65,6
6,67,6
6,82,6
6,83,6
6,87,6
6,91,6
6,93,6
6,95,6
6,97,6
7,8,7
7,10,7
7,15,7
7,20,7
7,30,7
7,48,7
7,49,7
7,51,7
7,54,7
7,58,7
7,59,7
7,62,7
7,64,7
7,65,7
7,69,7
7,77,7
7,86,7
7,87,7
7,89,7
7,90,7
7,92,7
7,94,7
7,95,7
7,97,7
8,10,8
8,12,8
8,14,8
8,18,8
8,20,8
8,22,8
8,24,8
8,37,8
8,41,8
8,51,8
8,59,8
8,63,8
8,66,8
8,68,8
8,75,8
8,77,8
8,80,8
8,82,8
8,88,8
8,90,8
8,93,8
8,96,8
8,98,8
9,12,9
9,20,9
9,26,9
9,32,9
9,33,9
9,35,9
