node,owned_edges,dist_sum,cost,p
0,49,49.0,147.0,0.03
1,5,92.0,102.0,0.020816326530612245
2,5,92.0,102.0,0.020816326530612245
3,2,95.0,99.0,0.02020408163265306
4,3,93.0,99.0,0.02020408163265306
5,6,91.0,103.0,0.021020408163265305
6,3,93.0,99.0,0.02020408163265306
7,5,92.0,102.0,0.020816326530612245
8,1,95.0,97.0,0.01979591836734694
9,6,89.0,101.0,0.020612244897959184
10,3,93.0,99.0,0.02020408163265306
11,2,95.0,99.0,0.02020408163265306
12,6,91.0,103.0,0.021020408163265305
13,5,90.0,100.0,0.02040816326530612
14,2,94.0,98.0,0.02
15,1,95.0,97.0,0.01979591836734694
16,4,92.0,100.0,0.02040816326530612
17,2,94.0,98.0,0.02
18,4,91.0,99.0,0.02020408163265306
19,3,92.0,98.0,0.02
20,2,93.0,97.0,0.01979591836734694
21,3,94.0,100.0,0.02040816326530612
22,1,93.0,95.0,0.019387755102040816
23,3,89.0,95.0,0.019387755102040816
24,4,92.0,100.0,0.02040816326530612
25,3,93.0,99.0,0.02020408163265306
26,1,95.0,97.0,0.01979591836734694
27,2,93.0,97.0,0.01979591836734694
28,0,92.0,92.0,0.018775510204081632
29,0,96.0,96.0,0.019591836734693877
30,3,90.0,96.0,0.019591836734693877
31,2,92.0,96.0,0.019591836734693877
32,4,92.0,100.0,0.02040816326530612
33,0,94.0,94.0,0.019183673469387756
34,1,89.0,91.0,0.018571428571428572
35,1,92.0,94.0,0.019183673469387756
36,5,89.0,99.0,0.02020408163265306
37,1,94.0,96.0,0.019591836734693877
38,2,91.0,95.0,0.019387755102040816
39,1,95.0,97.0,0.01979591836734694
40,0,94.0,94.0,0.019183673469387756
41,1,92.0,94.0,0.019183673469387756
42,1,93.0,95.0,0.019387755102040816
43,0,93.0,93.0,0.018979591836734692
44,0,92.0,92.0,0.018775510204081632
45,0,91.0,91.0,0.018571428571428572
46,0,92.0,92.0,0.018775510204081632
47,0,95.0,95.0,0.019387755102040816
48,0,96.0,96.0,0.019591836734693877
49,0,90.0,90.0,0.018367346938775512
